               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056062,            0.027293,            0.035842,             0.16241,             0.28946,             0.21125,              0.1128,             0.01695,            0.010354,            0.015593,            0.070462,           0.0032821,           0.0032821
                   1,            0.036759,            0.019731,             0.03291,             0.21874,             0.44284,             0.29705,             0.18083,            0.016149,           0.0059878,            0.015155,            0.040243,           0.0063971,           0.0063971
                   2,            0.031781,            0.016199,            0.029899,             0.29488,             0.52558,             0.41258,             0.24283,            0.014054,           0.0047722,             0.01362,           0.0098049,           0.0092921,           0.0092921
                   3,            0.028908,            0.015841,            0.027452,             0.35644,             0.60211,              0.4347,             0.18718,            0.013607,           0.0041901,            0.012803,             0.00901,             0.00901,             0.00901
                   4,             0.02646,            0.015008,            0.022784,             0.61701,             0.65032,             0.69531,             0.43268,             0.01013,            0.004517,           0.0084839,             0.00901,             0.00901,             0.00901
                   5,            0.023648,            0.014398,            0.021309,             0.51657,             0.73024,              0.7146,             0.43755,             0.01386,           0.0037356,           0.0097179,             0.00868,             0.00868,             0.00868
                   6,            0.023892,            0.014017,            0.019691,             0.80918,             0.81384,             0.91104,             0.58184,            0.009168,           0.0035499,            0.004743,             0.00835,             0.00835,             0.00835
                   7,            0.023667,             0.01375,            0.017636,             0.59103,             0.61801,             0.66145,             0.40889,            0.010333,           0.0042276,           0.0087872,             0.00802,             0.00802,             0.00802
                   8,            0.021174,            0.013753,            0.015501,             0.83063,             0.77696,             0.90891,             0.57126,           0.0092662,           0.0038754,           0.0055257,             0.00769,             0.00769,             0.00769
                   9,            0.020888,            0.013108,            0.015378,             0.85307,                 0.9,             0.94433,             0.58718,           0.0094431,           0.0036382,           0.0031563,             0.00736,             0.00736,             0.00736
                  10,            0.021394,            0.013257,            0.014784,             0.91128,             0.85184,             0.94769,             0.63528,           0.0078716,            0.003246,           0.0040912,             0.00703,             0.00703,             0.00703
                  11,             0.01963,            0.013094,            0.013632,             0.87565,             0.86761,             0.93441,             0.64154,           0.0078245,            0.003161,           0.0039676,              0.0067,              0.0067,              0.0067
                  12,            0.019305,            0.012979,            0.014067,             0.96113,             0.95364,             0.98621,             0.74152,           0.0065225,           0.0029309,           0.0020546,             0.00637,             0.00637,             0.00637
                  13,             0.01763,            0.012843,            0.012799,              0.9113,             0.92293,             0.94989,             0.68526,           0.0072252,           0.0030606,           0.0026111,             0.00604,             0.00604,             0.00604
                  14,            0.019183,            0.012314,            0.012295,             0.93679,             0.89122,              0.9586,             0.67924,           0.0075531,           0.0030644,           0.0027977,             0.00571,             0.00571,             0.00571
                  15,            0.017454,            0.012031,            0.012007,             0.89789,             0.90519,             0.96968,             0.73415,           0.0069495,            0.003017,           0.0037114,             0.00538,             0.00538,             0.00538
                  16,            0.017727,            0.012342,            0.011931,             0.91738,             0.93263,             0.95216,             0.73497,           0.0057746,           0.0029947,           0.0027589,             0.00505,             0.00505,             0.00505
                  17,            0.016867,            0.011664,            0.010064,             0.93155,             0.95852,             0.97767,             0.73423,           0.0068736,           0.0026157,           0.0016824,             0.00472,             0.00472,             0.00472
                  18,            0.017081,            0.012423,            0.010675,             0.97575,              0.9429,             0.98389,              0.7806,           0.0064417,           0.0027163,           0.0013257,             0.00439,             0.00439,             0.00439
                  19,            0.016248,            0.011247,            0.010995,             0.96499,             0.98349,             0.98867,             0.77598,           0.0056347,           0.0026019,           0.0012572,             0.00406,             0.00406,             0.00406
                  20,            0.015722,            0.011709,            0.010109,             0.92755,               0.949,             0.96465,             0.76406,           0.0056804,           0.0026647,           0.0022669,             0.00373,             0.00373,             0.00373
                  21,            0.016877,            0.011709,             0.00889,             0.96373,             0.97428,             0.98799,             0.81187,           0.0051322,            0.002418,          0.00098591,              0.0034,              0.0034,              0.0034
                  22,            0.016995,            0.011174,            0.010081,             0.96907,             0.96223,             0.98374,             0.80506,           0.0051745,           0.0024604,           0.0012767,             0.00307,             0.00307,             0.00307
                  23,            0.014587,            0.011053,           0.0088017,              0.9764,             0.98758,             0.99221,             0.83847,           0.0049273,           0.0023096,          0.00063217,             0.00274,             0.00274,             0.00274
                  24,            0.016394,            0.011055,           0.0088931,             0.96583,             0.97457,              0.9875,             0.82798,           0.0046131,           0.0023765,          0.00099294,             0.00241,             0.00241,             0.00241
                  25,            0.013415,            0.010684,           0.0078487,             0.96141,             0.96601,             0.98394,             0.82679,           0.0047371,            0.002295,           0.0013831,             0.00208,             0.00208,             0.00208
                  26,            0.012569,            0.010252,           0.0073198,             0.97111,             0.97108,             0.98452,             0.84318,           0.0044098,           0.0022859,          0.00094254,             0.00175,             0.00175,             0.00175
                  27,            0.013426,            0.010482,           0.0075634,             0.99116,             0.98156,             0.99194,             0.84916,           0.0043637,           0.0021603,          0.00057767,             0.00142,             0.00142,             0.00142
                  28,            0.013188,            0.010805,           0.0068534,             0.97035,             0.96785,             0.98836,             0.85816,           0.0041007,           0.0022054,          0.00087345,             0.00109,             0.00109,             0.00109
                  29,            0.014215,            0.010439,           0.0070485,             0.98886,             0.97351,              0.9903,             0.86296,           0.0040523,           0.0021771,          0.00063444,             0.00076,             0.00076,             0.00076
